"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p200305","DE NOTARIS","FRANCESCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200307","DE PAOLI","ELIDIO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200307","DE PAOLI","ELIDIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200310","DE VITO","SALVERINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200310","DE VITO","SALVERINO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200313","DEBENEDETTI","FRANCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200314","DEGAUDENZ","ALDO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200317","DELL'OSSO","COSTANTINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200317","DELL'OSSO","COSTANTINO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200318","DELL'UOMO","BIAGIO ANTONIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200320","DEMASI","VINCENZO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200322","DI BELLA","SAVERIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200325","DI BENEDETTO","DORIANO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200326","DI LEMBO","OSVALDO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200326","DI LEMBO","OSVALDO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200327","DI MAIO","BRUNO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200328","DI NUBILA","MARIO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200330","DI ORIO","FERDINANDO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200332","DI STEFANO","CORRADINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200332","DI STEFANO","CORRADINO","19920730","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200337","DIONISI","ANGELO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200337","DIONISI","ANGELO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200337","DIONISI","ANGELO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200338","DIPAOLA","GIUSEPPE","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200338","DIPAOLA","GIUSEPPE","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200340","DOLAZZA","MASSIMO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200341","DONATO","ANGELO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200341","DONATO","ANGELO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200344","DONISE","EUGENIO MARIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200346","DOPPIO","GIUSEPPE","19920405","19940414"
